MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Noise.stopped,Baseline2.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ4.csv,music\Q4\MT0028335228.wav,1,0,1,0,0,0,0,3,0,1,1,1,,,,,,372.71151909999986,384.178489599999,384.2165788000002,384.7015995999991,,,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
MusicListQ4.csv,music\Q4\MT0000235880.wav,1,0,1,0,0,0,0,3,0,2,2,0,,,,,,384.7119856999985,396.1782246999992,396.21425329999875,396.7308254999989,,,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
MusicListQ4.csv,,1,0,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
MusicListQ3.csv,music\Q3\MT0000299291.wav,1,0,1,0,0,1,1,2,0,0,0,0,,396.7308254999989,408.6794431,408.74609599999894,420.6858295000002,432.7471388000002,444.18072930000017,444.2474052999987,444.7028785000002,,,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
MusicListQ3.csv,music\Q3\MT0001515531.wav,1,0,1,0,0,1,1,2,0,1,1,2,,,,,,444.7142114999993,456.1804925999986,456.22508319999906,456.71684559999994,,,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
MusicListQ3.csv,music\Q3\MT0014050974.wav,1,0,1,0,0,1,1,2,0,2,2,1,,,,,,456.73146960000014,468.16496799999913,468.23527769999964,468.7110653,,,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
MusicListQ3.csv,,1,0,1,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
MusicListQ1.csv,music\Q1\MT0001753457.wav,1,0,1,0,0,2,2,0,0,0,0,2,,468.7110653,480.6654800999988,480.7154288999991,492.66651920000004,504.71656329999934,516.1667335999991,516.2263289000002,516.6950706999996,492.66651920000004,504.7132972999989,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
MusicListQ1.csv,music\Q1\MT0000414517.wav,1,0,1,0,0,2,2,0,0,1,1,0,,,,,,516.7002679999993,528.1671652999994,528.2062803999997,528.6966327999999,,,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
MusicListQ1.csv,music\Q1\MT0018617125.wav,1,0,1,0,0,2,2,0,0,2,2,1,,,,,,528.7007101999994,540.1676472999989,540.2064467,540.7184711999998,,,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
MusicListQ1.csv,,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
MusicListQ2.csv,music\Q2\MT0000441552.wav,1,0,1,0,0,3,3,1,0,0,0,0,,540.7184711999998,552.6681501999994,552.7181008999996,564.6759483999995,576.7184907999987,588.1694234999995,588.2262644999992,588.6925541,,,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
MusicListQ2.csv,music\Q2\MT0014997916.wav,1,0,1,0,0,3,3,1,0,1,1,1,,,,,,588.7029623999994,600.1699036999998,600.2062604000002,600.700041099999,,,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
MusicListQ2.csv,music\Q2\MT0001993588.wav,1,0,1,0,0,3,3,1,0,2,2,2,,,,,,600.7034773000001,612.1703424999996,612.2065419999999,612.8030718999998,,,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
MusicListQ2.csv,,1,0,1,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,17,3,True,2023-04-18_17h19.44.650,BrainplaybackQuadrants,2022.2.4,59.90872306931798,
,,,,,,,,,,,,,,,,,,,,,,,,,612.8030718999998,636.7712512999988,636.8046091999986,637.7712866000002,,,,,,,,
