MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Noise.stopped,Baseline2.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ3.csv,music\Q3\MT0011391187.wav,0,0,0,0,0,0,0,2,0,0,0,1,18.93173879999995,36.730822499999704,48.67653706000001,48.74313219999931,60.681397899999865,72.72791648000039,84.17833659999997,84.23096269999951,84.6965454000001,,,,,,,17,1,True,2023-04-18_16h57.33.000,BrainplaybackQuadrants,2022.2.4,59.99145721669942,
MusicListQ3.csv,music\Q3\MT0011836290.wav,0,0,0,0,0,0,0,2,0,1,1,2,,,,,,84.71176887999918,96.1782346,96.22237830000086,96.69471780000094,,,,,,,17,1,True,2023-04-18_16h57.33.000,BrainplaybackQuadrants,2022.2.4,59.99145721669942,
MusicListQ3.csv,music\Q3\MT0007438571.wav,0,0,0,0,0,0,0,2,0,2,2,0,,,,,,96.69545711999928,108.17866929999946,108.20031899999958,108.69011119999959,,,,,,,17,1,True,2023-04-18_16h57.33.000,BrainplaybackQuadrants,2022.2.4,59.99145721669942,
MusicListQ3.csv,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,17,1,True,2023-04-18_16h57.33.000,BrainplaybackQuadrants,2022.2.4,59.99145721669942,
MusicListQ1.csv,music\Q1\MT0013101577.wav,0,0,0,0,0,1,1,0,0,0,0,1,,108.69011119999959,120.67968066000086,120.69635179999932,132.69189130000086,144.73003737999917,156.18048230000022,156.23173280000083,156.69939390000036,,,,,,,17,1,True,2023-04-18_16h57.33.000,BrainplaybackQuadrants,2022.2.4,59.99145721669942,
MusicListQ1.csv,music\Q1\MT0013633209.wav,0,0,0,0,0,1,1,0,0,1,1,2,,,,,,156.71381067999957,168.1833461999995,168.22269589999996,168.70163580000008,,,,,,,17,1,True,2023-04-18_16h57.33.000,BrainplaybackQuadrants,2022.2.4,59.99145721669942,
MusicListQ1.csv,music\Q1\MT0009213083.wav,0,0,0,0,0,1,1,0,0,2,2,0,,,,,,168.70011102000063,180.1841144000009,180.2037782999996,180.70160869999927,,,,,,,17,1,True,2023-04-18_16h57.33.000,BrainplaybackQuadrants,2022.2.4,59.99145721669942,
MusicListQ1.csv,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,17,1,True,2023-04-18_16h57.33.000,BrainplaybackQuadrants,2022.2.4,59.99145721669942,
MusicListQ2.csv,music\Q2\MT0012855159.wav,0,0,0,0,0,2,2,1,0,0,0,2,,180.70160869999927,192.68458966000017,192.7009197999996,204.69280369999979,216.73333137999927,228.18318490000092,228.2331563000007,228.70147650000035,,,,,,,17,1,True,2023-04-18_16h57.33.000,BrainplaybackQuadrants,2022.2.4,59.99145721669942,
MusicListQ2.csv,music\Q2\MT0008346862.wav,0,0,0,0,0,2,2,1,0,1,1,0,,,,,,228.7003874200007,240.18362080000043,240.2131427000004,240.69809320000059,,,,,,,17,1,True,2023-04-18_16h57.33.000,BrainplaybackQuadrants,2022.2.4,59.99145721669942,
