MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Noise.stopped,Baseline2.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ3.csv,music\Q3\MT0010375510.wav,0,0,0,0,0,0,0,2,0,0,0,1,9.068398999999772,25.157543700001042,37.11478109999989,37.16475189999983,49.1281897000008,61.151235100000484,72.61548729999959,72.66681880000033,73.14411280000058,,,,,,,16,3,True,2023-04-17_15h56.47.008,BrainplaybackQuadrants,2022.2.4,59.993292750306225,
MusicListQ3.csv,music\Q3\MT0009437817.wav,0,0,0,0,0,0,0,2,0,1,1,2,,,,,,73.1493875,84.59986220000064,84.65510510000058,85.11526659999981,,,,,,,16,3,True,2023-04-17_15h56.47.008,BrainplaybackQuadrants,2022.2.4,59.993292750306225,
MusicListQ3.csv,music\Q3\MT0010739708.wav,0,0,0,0,0,0,0,2,0,2,2,0,,,,,,85.11596890000109,96.60020609999992,96.61628250000103,97.10698720000073,,,,,,,16,3,True,2023-04-17_15h56.47.008,BrainplaybackQuadrants,2022.2.4,59.993292750306225,
MusicListQ3.csv,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,16,3,True,2023-04-17_15h56.47.008,BrainplaybackQuadrants,2022.2.4,59.993292750306225,
MusicListQ1.csv,music\Q1\MT0012041920.wav,0,0,0,0,0,1,1,0,0,0,0,0,,97.10698720000073,109.10306329999985,109.11958380000033,121.10568260000036,133.15159020000138,144.60195850000127,144.65628480000123,145.1247172000003,,,,,,,16,3,True,2023-04-17_15h56.47.008,BrainplaybackQuadrants,2022.2.4,59.993292750306225,
MusicListQ1.csv,music\Q1\MT0011957429.wav,0,0,0,0,0,1,1,0,0,1,1,1,,,,,,145.13531750000075,156.60237550000056,156.63563280000017,157.12933440000052,,,,,,,16,3,True,2023-04-17_15h56.47.008,BrainplaybackQuadrants,2022.2.4,59.993292750306225,
MusicListQ1.csv,music\Q1\MT0011786799.wav,0,0,0,0,0,1,1,0,0,2,2,2,,,,,,157.1379885999999,168.60284030000003,168.65898910000033,169.11268180000116,,,,,,,16,3,True,2023-04-17_15h56.47.008,BrainplaybackQuadrants,2022.2.4,59.993292750306225,
MusicListQ1.csv,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,16,3,True,2023-04-17_15h56.47.008,BrainplaybackQuadrants,2022.2.4,59.993292750306225,
MusicListQ2.csv,music\Q2\MT0011145388.wav,0,0,0,0,0,2,2,1,0,0,0,1,,169.11268180000116,181.10268980000075,181.11935260000064,193.10692449999988,205.154151000001,216.60640570000032,216.6678251000012,217.12428309999996,,,,,,,16,3,True,2023-04-17_15h56.47.008,BrainplaybackQuadrants,2022.2.4,59.993292750306225,
MusicListQ2.csv,music\Q2\MT0010490157.wav,0,0,0,0,0,2,2,1,0,1,1,2,,,,,,217.12315319999982,228.60722449999957,228.62684850000005,229.1226867000005,,,,,,,16,3,True,2023-04-17_15h56.47.008,BrainplaybackQuadrants,2022.2.4,59.993292750306225,
MusicListQ2.csv,music\Q2\MT0011348776.wav,0,0,0,0,0,2,2,1,0,2,2,0,,,,,,229.12357810000105,240.6072552000005,240.6393965999996,241.13466049999988,,,,,,,16,3,True,2023-04-17_15h56.47.008,BrainplaybackQuadrants,2022.2.4,59.993292750306225,
MusicListQ2.csv,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,16,3,True,2023-04-17_15h56.47.008,BrainplaybackQuadrants,2022.2.4,59.993292750306225,
MusicListQ4.csv,music\Q4\MT0012151268.wav,0,0,0,0,0,3,3,3,0,0,0,2,,241.13466049999988,253.10780310000047,253.14109480000116,265.1077645000005,277.14189889999983,288.6093183000012,288.6472489000007,289.13401370000065,265.1077645000005,277.1331444999996,,,,,16,3,True,2023-04-17_15h56.47.008,BrainplaybackQuadrants,2022.2.4,59.993292750306225,
